stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,44765,22798,18593,6450
median,44257,23400,18000,7200
sd,7996,2547,2682,1897
min,22308,14400,12600,1800
max,71950,30600,30600,10800
q25,38734,21600,16200,5400
q75,50590,25200,19800,7200
