stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,48320,23697,19493,7466
median,47189,23400,19800,7200
sd,10635,2773,3020,2113
min,12344,14400,10800,0
max,92866,34200,34200,14400
q25,40502,21600,18000,5400
q75,55281,25200,21600,9000
