stat,dose,duration_above_250,duration_above_1000,mean_timing_above_250,first_timing_above_250,last_timing_above_250
mean,16887,16700s (~4.64 hours),10555s (~2.93 hours),13:15:11,08:41:16,17:49:00
median,16536,16200s (~4.5 hours),10800s (~3 hours),13:15:00,08:30:00,18:00:00
sd,5967,4170s (~1.16 hours),3736s (~1.04 hours),00:51:45,00:54:17,00:53:45
min,912,1800s (~30 minutes),0s,08:45:00,08:00:00,09:30:00
max,48748,34200s (~9.5 hours),28800s (~8 hours),18:30:00,18:30:00,18:30:00
q25,12642,14400s (~4 hours),7200s (~2 hours),12:42:00,08:00:00,17:30:00
q75,20741,19800s (~5.5 hours),12600s (~3.5 hours),13:48:28,09:00:00,18:30:00
