stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,46707,23259,18871,6933
median,45559,23400,18000,7200
sd,14268,4154,4207,3211
min,4986,5400,1800,0
max,131080,39600,36000,23400
q25,36601,19800,16200,5400
q75,55671,25200,21600,9000
