stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,120931,39600,39600,24192
median,119995,39600,39600,23400
sd,16446,0,0,4113
min,50993,39600,39600,3600
max,221863,39600,39600,39600
q25,109363,39600,39600,21600
q75,131438,39600,39600,27000
