stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,49340,23993,19793,7693
median,48337,23400,19800,7200
sd,11096,3026,3131,2465
min,15467,14400,10800,0
max,102220,37800,34200,14400
q25,41280,21600,18000,5400
q75,56605,25200,21600,9000
