stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,46707,23259s (~6.46 hours),18871s (~5.24 hours),6933s (~1.93 hours)
median,45559,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
sd,14268,4154s (~1.15 hours),4207s (~1.17 hours),3211s (~53.52 minutes)
min,4986,5400s (~1.5 hours),1800s (~30 minutes),0s
max,131080,39600s (~11 hours),36000s (~10 hours),23400s (~6.5 hours)
q25,36601,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
q75,55671,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
