stat,dose,duration_above_250,duration_above_1000,duration_above_10000
mean,16887,16700,10555,0
median,16536,16200,10800,0
sd,5967,4170,3736,0
min,912,1800,0,0
max,48748,34200,28800,0
q25,12642,14400,7200,0
q75,20741,19800,12600,0
