Datetime,mean,median,sd,min,max,q25,q75,n
2023-06-16T12:00:00Z,1534.4487599999995,185.7,2540.6612124452145,17.5,8660.9,81.1,1185.9,100000
2023-06-16T12:30:00Z,1526.954736000001,185.7,2535.3962739039594,17.5,8660.9,81.1,1185.9,100000
2023-06-16T13:00:00Z,1542.2830860000051,185.7,2549.097155573106,17.5,8660.9,81.1,1185.9,100000
2023-06-16T13:30:00Z,1529.4247129999997,185.7,2537.712403517413,17.5,8660.9,81.1,1185.9,100000
2023-06-16T14:00:00Z,1546.047175999997,185.7,2551.6050319378182,17.5,8660.9,81.1,1185.9,100000
2023-06-16T14:30:00Z,1521.9393380000008,185.7,2532.560185064248,17.5,8660.9,81.1,1185.9,100000
2023-06-16T15:00:00Z,1537.8210030000016,185.7,2542.84105054097,17.5,8660.9,81.1,1185.9,100000
2023-06-16T15:30:00Z,1530.6543979999992,185.7,2538.6745581810683,17.5,8660.9,81.1,1185.9,100000
2023-06-16T16:00:00Z,1530.418592000004,185.7,2534.966726914186,17.5,8660.9,81.1,1185.9,100000
2023-06-16T16:30:00Z,1538.194323000001,185.7,2546.9729438300606,17.5,8660.9,81.1,1185.9,100000
2023-06-16T17:00:00Z,1528.8983419999993,185.7,2543.214161082142,17.5,8660.9,81.1,1185.9,100000
2023-06-16T17:30:00Z,1537.9310460000006,185.7,2547.0968858007664,17.5,8660.9,81.1,1185.9,100000
2023-06-16T18:00:00Z,1529.6371410000008,185.7,2543.2608261520636,17.5,8660.9,81.1,1185.9,100000
2023-06-16T18:30:00Z,1541.5974419999989,185.7,2548.599234582867,17.5,8660.9,81.1,1185.9,100000
2023-06-16T19:00:00Z,1555.7419580000007,185.7,2559.36110605135,17.5,8660.9,81.1,1185.9,100000
2023-06-16T19:30:00Z,1538.427258000002,185.7,2547.145676049416,17.5,8660.9,81.1,1185.9,100000
2023-06-16T20:00:00Z,1526.1343270000004,185.7,2534.9752867485777,17.5,8660.9,81.1,1185.9,100000
2023-06-16T20:30:00Z,1532.703351999997,185.7,2539.2178841012656,17.5,8660.9,81.1,1185.9,100000
2023-06-16T21:00:00Z,1534.2078760000015,185.7,2541.9188915350633,17.5,8660.9,81.1,1185.9,100000
2023-06-16T21:30:00Z,1541.7922800000026,185.7,2550.8678709225433,17.5,8660.9,81.1,1185.9,100000
2023-06-16T22:00:00Z,1527.6351969999996,185.7,2534.3369516765692,17.5,8660.9,81.1,1185.9,100000
2023-06-16T22:30:00Z,1541.0566219999992,185.7,2551.068182189448,17.5,8660.9,81.1,1185.9,100000
