Datetime,mean,median,sd,min,max,q25,q75,n
2023-06-16T12:00:00Z,944.2733580000038,24.4,2318.3948437622507,17.5,7474.6,20.4,81.1,100000
2023-06-16T12:30:00Z,938.2676510000005,24.4,2311.5790800379445,17.5,7474.6,20.4,81.1,100000
2023-06-16T13:00:00Z,9683.824623,10945.2,4315.540395869411,1408,14772.3,5553.3,13535,100000
2023-06-16T13:30:00Z,9668.813360000002,10945.2,4315.935773007378,1408,14772.3,5553.3,13535,100000
2023-06-16T14:00:00Z,9645.10097,10945.2,4330.578468663374,1408,14772.3,5553.3,13535,100000
2023-06-16T14:30:00Z,1939.632732999999,269.7,2716.302122925213,93.2,8660.9,99.9,3858.5,100000
2023-06-16T15:00:00Z,1953.2586949999982,269.7,2724.25684795578,93.2,8660.9,99.9,3858.5,100000
2023-06-16T15:30:00Z,1945.385378,269.7,2718.2872502407554,93.2,8660.9,99.9,3858.5,100000
2023-06-16T16:00:00Z,1934.785404999999,269.7,2716.8435090817443,93.2,8660.9,99.9,3858.5,100000
2023-06-16T16:30:00Z,1944.709616999998,269.7,2722.6925519270203,93.2,8660.9,99.9,3858.5,100000
2023-06-16T17:00:00Z,9268.721323999987,4439.6,11974.746786975804,551.7,33750.6,845.3,14938.9,100000
2023-06-16T17:30:00Z,9288.554683000004,1185.9,12044.0974904201,551.7,33750.6,845.3,14938.9,100000
2023-06-16T18:00:00Z,1944.5059779999976,269.7,2715.2695526728166,93.2,8660.9,99.9,3858.5,100000
2023-06-16T18:30:00Z,1922.6706810000026,269.7,2702.503116194497,93.2,8660.9,99.9,3858.5,100000
2023-06-16T19:00:00Z,1934.0394520000004,269.7,2710.900856266804,93.2,8660.9,99.9,3858.5,100000
2023-06-16T19:30:00Z,1923.6474,269.7,2709.0737194123753,93.2,8660.9,99.9,3858.5,100000
2023-06-16T20:00:00Z,9679.965798000001,10945.2,4322.008436818993,1408,14772.3,5553.3,13535,100000
2023-06-16T20:30:00Z,9651.227508999998,10945.2,4319.697804383642,1408,14772.3,5553.3,13535,100000
2023-06-16T21:00:00Z,9646.314002999998,10945.2,4324.063989379419,1408,14772.3,5553.3,13535,100000
2023-06-16T21:30:00Z,933.371718999998,24.4,2304.6899477818924,17.5,7474.6,20.4,81.1,100000
2023-06-16T22:00:00Z,946.808968,24.4,2319.929525182419,17.5,7474.6,20.4,81.1,100000
2023-06-16T22:30:00Z,941.6593890000005,24.4,2315.0361709807207,17.5,7474.6,20.4,81.1,100000
