Datetime,mean,median,sd,min,max,q25,q75,n
2023-06-16T12:00:00Z,4250.457262,551.7,6044.63019210894,17.5,33750.6,93.9,7474.6,100000
2023-06-16T12:30:00Z,4264.854141999999,551.7,6113.572923608556,17.5,33750.6,93.9,7474.6,100000
2023-06-16T13:00:00Z,4241.745884000005,551.7,6083.426370044025,17.5,33750.6,93.9,7474.6,100000
2023-06-16T13:30:00Z,4269.056664999998,551.7,6123.961591303529,17.5,33750.6,93.9,7474.6,100000
2023-06-16T14:00:00Z,4241.647207000002,551.7,6052.65829984108,17.5,33750.6,93.9,7474.6,100000
2023-06-16T14:30:00Z,4231.416192,551.7,6073.505815756217,17.5,33750.6,93.9,7474.6,100000
2023-06-16T15:00:00Z,4275.164771000001,551.7,6113.412556466577,17.5,33750.6,93.9,7474.6,100000
2023-06-16T15:30:00Z,4258.681169999998,551.7,6105.302665016503,17.5,33750.6,93.9,7474.6,100000
2023-06-16T16:00:00Z,4222.373958999999,551.7,6034.419965493893,17.5,33750.6,93.9,7474.6,100000
2023-06-16T16:30:00Z,4251.339599000005,551.7,6083.415884490134,17.5,33750.6,93.9,7474.6,100000
2023-06-16T17:00:00Z,4262.467984,551.7,6113.959079700571,17.5,33750.6,93.9,7474.6,100000
2023-06-16T17:30:00Z,4231.885856000001,551.7,6046.419345867087,17.5,33750.6,93.9,7474.6,100000
2023-06-16T18:00:00Z,4262.526220999996,551.7,6104.888034546734,17.5,33750.6,93.9,7474.6,100000
2023-06-16T18:30:00Z,4281.073966000001,551.7,6122.438329564225,17.5,33750.6,93.9,7474.6,100000
2023-06-16T19:00:00Z,4240.488117999999,551.7,6062.062935713061,17.5,33750.6,93.9,7474.6,100000
2023-06-16T19:30:00Z,4238.208192000003,551.7,6065.9047733539865,17.5,33750.6,93.9,7474.6,100000
2023-06-16T20:00:00Z,4285.057799999999,551.7,6130.429923876136,17.5,33750.6,93.9,7474.6,100000
2023-06-16T20:30:00Z,4220.870045000001,551.7,6036.148436897979,17.5,33750.6,93.9,7474.6,100000
2023-06-16T21:00:00Z,4242.626488000001,551.7,6091.283912865115,17.5,33750.6,93.9,7474.6,100000
2023-06-16T21:30:00Z,4238.5266569999985,551.7,6068.130606631817,17.5,33750.6,93.9,7474.6,100000
2023-06-16T22:00:00Z,4185.839425999995,551.7,6036.157397588965,17.5,33750.6,93.9,7474.6,100000
2023-06-16T22:30:00Z,4218.408099000002,551.7,6111.521880302581,17.5,33750.6,93.9,7474.6,100000
