stat,dose,duration_above_250,duration_above_1000,mean_timing_above_250,first_timing_above_250,last_timing_above_250
mean,120931,39600s (~11 hours),39600s (~11 hours),13:15:00,08:00:00,18:30:00
median,119995,39600s (~11 hours),39600s (~11 hours),13:15:00,08:00:00,18:30:00
sd,16446,0s,0s,00:00:00,00:00:00,00:00:00
min,50993,39600s (~11 hours),39600s (~11 hours),13:15:00,08:00:00,18:30:00
max,221863,39600s (~11 hours),39600s (~11 hours),13:15:00,08:00:00,18:30:00
q25,109363,39600s (~11 hours),39600s (~11 hours),13:15:00,08:00:00,18:30:00
q75,131438,39600s (~11 hours),39600s (~11 hours),13:15:00,08:00:00,18:30:00
