stat,dose,duration_above_250,duration_above_1000,mean_timing_above_250,first_timing_above_250,last_timing_above_250
mean,48290,23698,19507,45585,31164,61200
median,47105,23400,19800,45643,32400,61200
sd,10640,2774,3020,1003,1521,0
min,16310,14400,10800,42646,28800,61200
max,94752,34200,32400,49050,32400,61200
q25,40463,21600,18000,44871,30600,61200
q75,55275,25200,21600,46286,32400,61200
