stat,dose,duration_above_250,duration_above_1000,mean_timing_above_250,first_timing_above_250,last_timing_above_250
mean,49317,24010,19800,47055,31709,62515
median,48326,23400,19800,47040,32400,61200
sd,11133,3017,3128,1217,1281,1995
min,13267,14400,10800,42646,28800,61200
max,101276,37800,34200,52329,32400,66600
q25,41269,21600,18000,46246,32400,61200
q75,56495,25200,21600,47850,32400,63000
