stat,dose,duration_above_250,duration_above_1000,mean_timing_above_250,first_timing_above_250,last_timing_above_250
mean,16887,16700,10555,47711,31276,64140
median,16536,16200,10800,47700,30600,64800
sd,5967,4170,3736,3105,3257,3225
min,912,1800,0,31500,28800,34200
max,48748,34200,28800,66600,66600,66600
q25,12642,14400,7200,45720,28800,63000
q75,20741,19800,12600,49708,32400,66600
