stat,dose,duration_above_250,duration_above_1000,mean_timing_above_250,first_timing_above_250,last_timing_above_250
mean,46707,23259,18871,47680,30052,65320
median,45559,23400,18000,47700,28800,66600
sd,14268,4154,4207,2173,1958,1983
min,4986,5400,1800,35743,28800,45000
max,131080,39600,36000,57600,48600,66600
q25,36601,19800,16200,46271,28800,64800
q75,55671,25200,21600,49080,30600,66600
