Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,12772.650000000003,12600,10800,0
0002,13707.35,16200,9000,0
0003,7233.25,10800,3600,0
0004,19302.25,16200,9000,0
0005,19569.35,18000,12600,0
0006,17982.000000000004,12600,9000,0
0007,16217.750000000002,16200,10800,0
0008,36474.649999999994,21600,19800,0
0009,11129.300000000003,19800,7200,0
0010,25307.9,18000,14400,0
0011,14497.8,18000,7200,0
0012,10772.85,16200,10800,0
0013,21840.2,21600,14400,0
0014,13073.600000000004,19800,9000,0
0015,19940.250000000004,14400,14400,0
0016,23367.600000000006,19800,14400,0
0017,10887.400000000001,16200,9000,0
0018,14047.499999999998,14400,7200,0
0019,17304.250000000004,16200,10800,0
0020,14835.650000000001,12600,7200,0
0021,15212.350000000004,19800,9000,0
0022,24371.000000000004,21600,16200,0
0023,19894.899999999994,18000,12600,0
0024,17014.299999999996,16200,10800,0
0025,24032.85,21600,14400,0
0026,19768.4,19800,10800,0
0027,7035.450000000001,18000,3600,0
0028,9405.3,18000,7200,0
0029,17717.55,19800,12600,0
0030,16872.200000000004,12600,9000,0
0031,12152.050000000003,12600,7200,0
0032,10214.5,12600,9000,0
0033,18257.450000000004,19800,14400,0
0034,15100.450000000003,16200,14400,0
0035,17050.399999999998,18000,10800,0
0036,12856.199999999997,9000,7200,0
0037,18687.499999999996,18000,12600,0
0038,21895.95,21600,14400,0
0039,15107.100000000004,18000,9000,0
0040,10285.85,14400,7200,0
0041,18398.1,21600,16200,0
0042,26212.699999999997,19800,14400,0
0043,12436.45,14400,7200,0
0044,21825.4,18000,12600,0
0045,20523.049999999996,23400,12600,0
0046,11854.3,18000,9000,0
0047,13908.7,12600,9000,0
0048,9512.65,19800,7200,0
0049,19372.499999999996,14400,12600,0
0050,23207.300000000003,19800,10800,0
0051,9293.449999999999,10800,7200,0
0052,20068.300000000003,18000,10800,0
0053,12964.300000000003,12600,7200,0
0054,15994.9,21600,7200,0
0055,20515.850000000006,19800,12600,0
0056,10466.750000000002,16200,7200,0
0057,16713.55,16200,7200,0
0058,7105.0999999999985,7200,5400,0
0059,19478.4,21600,10800,0
0060,14764.5,16200,7200,0
0061,28546.35,19800,18000,0
0062,15002.649999999998,14400,10800,0
0063,20241.000000000004,19800,12600,0
0064,14664.749999999996,14400,10800,0
0065,15465.900000000001,16200,9000,0
0066,21648.4,16200,10800,0
0067,14518.050000000003,16200,10800,0
0068,11908.25,9000,7200,0
0069,4448.5,9000,1800,0
0070,23581.749999999996,19800,16200,0
0071,10947.9,16200,7200,0
0072,15375.849999999999,14400,7200,0
0073,9333.95,14400,3600,0
0074,18262.2,19800,12600,0
0075,19086,18000,12600,0
0076,14115.900000000001,14400,10800,0
0077,22661.600000000006,18000,12600,0
0078,18387.75,18000,10800,0
0079,13360.550000000005,18000,10800,0
0080,14457.100000000002,12600,10800,0
0081,26470.55,21600,16200,0
0082,20907.449999999997,18000,10800,0
0083,28048.3,19800,14400,0
0084,16788.75,14400,9000,0
0085,22001.6,21600,12600,0
0086,11221.85,12600,5400,0
0087,23945.200000000004,18000,14400,0
0088,11565.8,12600,5400,0
0089,11696.800000000003,9000,7200,0
0090,15031.5,16200,10800,0
0091,13364.500000000002,16200,7200,0
0092,10703.7,14400,7200,0
0093,26432.3,21600,16200,0
0094,14942.5,16200,9000,0
0095,11292.050000000003,16200,9000,0
0096,17119.5,14400,12600,0
0097,21426.350000000006,18000,14400,0
0098,15070.749999999998,16200,7200,0
0099,18588.950000000004,21600,10800,0
0100,19021.35,18000,10800,0
0101,16025.4,14400,9000,0
0102,14804.05,16200,9000,0
0103,15128.950000000004,9000,9000,0
0104,31443.05,23400,18000,0
0105,15103.15,16200,9000,0
0106,5877.350000000001,14400,5400,0
0107,14883.550000000003,14400,7200,0
0108,30033.1,25200,21600,0
0109,7801.25,14400,5400,0
0110,24525.649999999994,23400,14400,0
0111,25212.4,21600,16200,0
0112,28660.95,21600,19800,0
0113,20730.199999999997,14400,12600,0
0114,29490.1,19800,16200,0
