Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
49208,61770.19999999999,27000,23400,10800
49209,39576.05,27000,18000,3600
4921,27993.9,18000,14400,3600
49210,58943.94999999999,25200,19800,12600
49211,64366,27000,21600,9000
49212,60038.59999999999,21600,19800,9000
49213,69808.7,21600,16200,10800
49214,40574.24999999999,18000,16200,3600
49215,46844.1,23400,19800,7200
49216,45317.6,19800,18000,9000
49217,61866.399999999994,19800,18000,10800
49218,72812.1,25200,23400,12600
49219,80325.25,30600,27000,12600
4922,45645.55,25200,21600,7200
49220,28537.500000000004,16200,12600,3600
49221,42872.79999999999,18000,18000,9000
49222,41294.69999999999,27000,19800,7200
49223,63453.94999999998,23400,23400,7200
49224,42114.149999999994,23400,16200,7200
49225,26456.85,19800,10800,5400
49226,57189.54999999999,28800,19800,5400
49227,41187.74999999999,27000,18000,5400
49228,46957.15,27000,25200,5400
49229,43361.2,28800,23400,5400
4923,42594.5,25200,21600,5400
49230,22021.499999999996,16200,14400,1800
49231,64565.44999999998,21600,16200,9000
49232,41592.99999999999,25200,19800,5400
49233,64242.85,27000,27000,12600
49234,38194.04999999999,21600,16200,5400
49235,48439.600000000006,19800,16200,5400
49236,23350.250000000004,18000,10800,0
49237,48690.45,25200,19800,5400
49238,49514.6,23400,16200,9000
49239,54366.75,25200,19800,9000
4924,70662.5,30600,27000,9000
49240,33351.350000000006,18000,16200,5400
49241,66727.09999999998,27000,19800,12600
49242,34155.3,19800,12600,7200
49243,47668.99999999999,25200,19800,5400
49244,53953.649999999994,27000,23400,7200
49245,46678.79999999999,19800,18000,5400
49246,67481.05000000002,25200,23400,9000
49247,51520.649999999994,19800,16200,7200
49248,27063.35,27000,19800,0
49249,51273.54999999999,23400,18000,7200
4925,50932.65,23400,19800,7200
49250,51776.79999999999,32400,28800,5400
49251,49605.19999999999,23400,16200,7200
49252,39161.70000000001,19800,12600,9000
49253,39870.45000000001,18000,18000,5400
49254,32400.950000000008,19800,19800,3600
49255,51113.850000000006,23400,19800,9000
49256,49389.05,19800,18000,7200
49257,68664.3,27000,21600,10800
49258,19674.850000000006,19800,9000,1800
49259,30399.349999999995,18000,14400,5400
4926,42211.54999999999,19800,16200,9000
49260,55274.84999999999,23400,18000,5400
49261,48599.70000000001,25200,23400,7200
49262,38310.05000000002,27000,21600,5400
49263,59974.149999999994,30600,28800,7200
49264,47875.85,21600,19800,7200
49265,53042.09999999999,25200,19800,10800
49266,49329.24999999999,23400,16200,7200
49267,32798.35,18000,12600,5400
49268,45687.24999999999,23400,21600,7200
49269,34011.95,25200,14400,3600
4927,31900.6,25200,19800,1800
49270,37808.40000000001,21600,16200,3600
49271,33877.950000000004,16200,14400,7200
