Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00001,55279.54999999999,27000,25200,9000
00002,50015.55000000001,23400,18000,7200
00003,50858.49999999999,25200,21600,7200
00004,44888.69999999999,21600,16200,9000
00005,44401.24999999999,25200,21600,3600
00006,50775.399999999994,21600,19800,9000
00007,47034.39999999999,19800,16200,7200
00008,37691.1,21600,16200,7200
00009,57086.40000000001,27000,21600,10800
00010,45703.29999999999,27000,21600,5400
00011,57871.349999999984,27000,18000,7200
00012,26718.65,21600,18000,3600
00013,59151.54999999999,23400,21600,10800
00014,35307.149999999994,21600,18000,5400
00015,48959.849999999984,21600,14400,7200
00016,41303.349999999984,25200,21600,5400
00017,37566.649999999994,25200,18000,5400
00018,62328.599999999984,30600,23400,7200
00019,44932.04999999999,23400,18000,7200
00020,47822.149999999994,21600,18000,10800
00021,48856.850000000006,27000,23400,5400
00022,68711.90000000001,23400,18000,9000
00023,48154.249999999985,21600,21600,7200
00024,59499.59999999999,21600,19800,9000
00025,48217.09999999999,21600,19800,9000
00026,72239.29999999999,28800,25200,9000
00027,45576.29999999999,25200,19800,7200
00028,34005.5,23400,16200,5400
00029,54933.24999999999,23400,21600,7200
00030,49259.25,21600,18000,7200
00031,40282.04999999999,25200,21600,5400
00032,38476.54999999999,18000,16200,5400
00033,57983.35,21600,19800,9000
00034,45472.899999999994,21600,14400,9000
00035,47586.49999999999,27000,25200,5400
00036,56083.29999999999,25200,19800,9000
00037,79607.09999999998,30600,28800,10800
00038,49838.999999999985,25200,23400,7200
00039,37498.54999999999,21600,12600,7200
00040,65617.34999999999,27000,25200,10800
00041,40977.04999999999,23400,19800,7200
00042,38769.34999999999,23400,19800,5400
00043,47645.75,19800,18000,5400
00044,40792.99999999999,19800,18000,7200
00045,42392.59999999999,23400,18000,7200
00046,38296.74999999999,23400,18000,5400
00047,46756.04999999999,23400,19800,7200
00048,34808.74999999999,18000,10800,7200
00049,37040,25200,19800,3600
00050,39841.75,21600,21600,5400
00051,41565.74999999999,23400,19800,5400
00052,52353.2,21600,19800,9000
00053,56820.54999999999,23400,23400,5400
00054,53325.2,25200,23400,9000
00055,48796,16200,16200,9000
00056,36612.600000000006,19800,16200,7200
00057,66981.75,27000,21600,10800
00058,45463.9,23400,18000,7200
00059,34805.5,25200,16200,5400
00060,66656.6,21600,21600,10800
00061,53544.499999999985,23400,23400,9000
00062,54018.8,21600,16200,9000
00063,53230.849999999984,23400,18000,7200
00064,41121.45,21600,19800,7200
00065,38965.399999999994,25200,18000,5400
00066,37303.99999999999,23400,16200,5400
00067,42746.79999999999,18000,16200,9000
00068,53710.09999999999,25200,18000,5400
00069,47264.399999999994,27000,21600,7200
00070,41261.99999999999,23400,16200,7200
00071,43290.45,27000,19800,7200
00072,61898.44999999998,23400,19800,9000
00073,48068.44999999998,21600,18000,7200
00074,41590.79999999999,25200,21600,5400
00075,54031.35,19800,19800,7200
00076,41066.99999999999,21600,21600,7200
00077,40628.89999999999,23400,18000,5400
00078,64157.04999999999,25200,23400,7200
00079,31846.850000000006,25200,14400,5400
00080,51140.69999999999,21600,19800,7200
00081,36793.14999999999,21600,16200,5400
00082,55935.24999999998,19800,14400,10800
00083,57712.2,25200,23400,7200
00084,46043.24999999999,25200,21600,7200
00085,67059.74999999999,19800,18000,9000
00086,62619.44999999998,25200,21600,9000
00087,58967.7,23400,18000,9000
00088,29378.999999999993,23400,16200,3600
00089,38934.25,25200,19800,3600
00090,42806.29999999999,23400,21600,5400
00091,56975.95000000001,25200,23400,10800
00092,55583.099999999984,21600,19800,7200
00093,41509.14999999999,21600,19800,5400
00094,56605.45,28800,23400,10800
00095,40783.5,23400,21600,5400
00096,64173.599999999984,27000,23400,10800
