Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,110523.70000000001,39600,39600,27000
0002,104949.90000000002,39600,39600,21600
0003,107540.15,39600,39600,21600
0004,115475.09999999998,39600,39600,23400
0005,124393.19999999997,39600,39600,27000
0006,102578.29999999999,39600,39600,21600
0007,118209.7,39600,39600,30600
0008,127475.7,39600,39600,25200
0009,135237.4,39600,39600,28800
0010,134503.55,39600,39600,23400
0011,134692.15,39600,39600,30600
0012,127985.65000000002,39600,39600,25200
0013,137494.95,39600,39600,32400
0014,143894.75,39600,39600,32400
0015,115453.24999999999,39600,39600,23400
0016,128719.54999999999,39600,39600,27000
0017,107707.59999999998,39600,39600,25200
0018,136730.09999999998,39600,39600,27000
0019,118641.94999999998,39600,39600,23400
0020,119691.95000000001,39600,39600,19800
0021,120962.40000000002,39600,39600,21600
0022,130947.7,39600,39600,23400
0023,106778.8,39600,39600,23400
0024,129749.89999999998,39600,39600,28800
0025,106041.19999999997,39600,39600,16200
0026,130005,39600,39600,23400
0027,102816.45000000001,39600,39600,21600
0028,144432.95000000004,39600,39600,27000
0029,114895.59999999998,39600,39600,21600
0030,135671.85,39600,39600,27000
0031,104501.9,39600,39600,19800
0032,110105.65,39600,39600,21600
0033,103812.15000000002,39600,39600,18000
0034,109556.75000000001,39600,39600,23400
0035,121932.69999999998,39600,39600,27000
0036,141855.45,39600,39600,25200
0037,94632.15000000002,39600,39600,19800
0038,89376.24999999999,39600,39600,16200
0039,158932.99999999997,39600,39600,25200
0040,110828.4,39600,39600,21600
0041,126955.80000000002,39600,39600,23400
0042,126255.95,39600,39600,23400
0043,119421.49999999999,39600,39600,21600
0044,126628.14999999997,39600,39600,27000
0045,128075.04999999997,39600,39600,28800
0046,120689.99999999997,39600,39600,27000
0047,123551.25000000003,39600,39600,23400
0048,136815.39999999997,39600,39600,27000
0049,141782.55,39600,39600,32400
0050,85932.24999999999,39600,39600,18000
0051,122728.29999999999,39600,39600,28800
0052,110139.6,39600,39600,19800
0053,110112.05,39600,39600,23400
0054,126789.50000000001,39600,39600,30600
0055,129493.45,39600,39600,27000
