Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00001,76406.15,23400,18000,12600
00002,49150.900000000016,27000,25200,7200
00003,51528.05,28800,23400,7200
00004,47382.24999999999,19800,18000,5400
00005,66895.75,25200,23400,9000
00006,72791.49999999997,19800,16200,12600
00007,64619.8,23400,21600,10800
00008,49155.95000000001,19800,16200,10800
00009,52075.74999999999,23400,21600,3600
00010,52197.54999999999,28800,23400,9000
00011,45919.3,21600,19800,5400
00012,43285.40000000001,27000,23400,5400
00013,58639.15,23400,19800,9000
00014,75218.30000000002,23400,19800,10800
00015,37271.65,23400,16200,5400
00016,49016.1,28800,25200,7200
00017,51089.05,27000,19800,9000
00018,54295.94999999999,21600,16200,10800
00019,50430.80000000001,19800,19800,10800
00020,48520.3,27000,21600,7200
00021,31854.649999999994,19800,14400,5400
00022,43650.79999999999,21600,18000,7200
00023,30845.9,18000,12600,7200
00024,45844.94999999999,21600,16200,9000
00025,46496.100000000006,21600,18000,9000
00026,63684.44999999999,23400,16200,12600
00027,32640.499999999993,27000,14400,5400
00028,50607.4,19800,18000,10800
00029,54132.25000000001,25200,23400,9000
00030,53576.9,19800,18000,10800
00031,42400.95,25200,23400,5400
00032,66065.54999999999,25200,25200,7200
00033,62232.7,25200,25200,7200
00034,60727.34999999999,21600,16200,12600
00035,56382.3,23400,21600,9000
00036,50023.39999999999,19800,18000,7200
00037,46587.80000000002,23400,19800,9000
00038,50434.60000000001,21600,21600,9000
00039,50916.25,21600,19800,9000
00040,49637.7,25200,23400,5400
00041,49783.350000000006,27000,25200,7200
00042,43597.70000000001,21600,18000,7200
00043,55567.09999999999,27000,21600,9000
00044,42618.99999999999,19800,16200,9000
00045,31565.4,23400,18000,3600
00046,73337.20000000001,27000,23400,10800
00047,60042.29999999999,23400,21600,7200
00048,55977.85,21600,18000,9000
00049,38699.95000000001,18000,14400,1800
00050,36058.35,25200,18000,7200
00051,44404.20000000001,21600,18000,7200
00052,26064.15,18000,14400,3600
00053,39674.75,23400,18000,7200
00054,51432.100000000006,25200,19800,9000
00055,30202.45,25200,19800,1800
00056,55558,25200,21600,7200
00057,66343.65,25200,23400,10800
00058,58943.6,25200,21600,10800
00059,39842.05,25200,21600,1800
00060,60633.99999999999,27000,25200,9000
00061,74494.65000000001,25200,23400,12600
00062,69889.45,27000,19800,12600
00063,67017.6,27000,25200,9000
00064,48329.9,23400,19800,9000
00065,50318.15,23400,19800,5400
00066,50943.2,25200,19800,9000
00067,70692.7,23400,19800,12600
00068,39516.45000000001,21600,19800,5400
00069,30864.700000000004,21600,16200,3600
00070,64030.14999999999,25200,21600,9000
00071,73816.54999999999,27000,21600,12600
00072,43852.00000000001,27000,19800,7200
00073,52948.75,19800,18000,7200
00074,60244.39999999999,27000,18000,10800
00075,51798.35,25200,19800,10800
00076,59102.24999999999,21600,16200,9000
00077,31961.25,19800,18000,3600
00078,47033.4,23400,19800,5400
00079,55761.05,19800,18000,12600
00080,35291.649999999994,23400,23400,3600
00081,53787.54999999999,23400,19800,5400
00082,44393.100000000006,21600,18000,9000
00083,64108.24999999999,21600,19800,9000
00084,43879.10000000001,23400,18000,9000
00085,39811.6,21600,14400,5400
00086,42774.8,21600,18000,7200
00087,60569.35000000001,23400,18000,10800
00088,69049.99999999999,23400,19800,12600
00089,42867.80000000001,19800,18000,5400
00090,52336.50000000001,32400,23400,7200
00091,42914.40000000001,21600,19800,9000
