Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0147,46677,19800,18000,10800
0148,40081.8,25200,19800,5400
0149,54037.9,21600,19800,7200
0150,44248.4,25200,21600,5400
0151,44216.29999999999,21600,14400,7200
0152,51818.95,25200,18000,7200
0153,37337.95,23400,16200,5400
0154,56653.19999999999,25200,23400,5400
0155,49086.29999999999,25200,21600,7200
0156,50980.39999999999,23400,19800,5400
0157,36000.30000000001,25200,19800,3600
0158,40959.85,25200,19800,3600
0159,63044.499999999985,23400,21600,9000
0160,54585.69999999999,25200,21600,9000
0161,36653.44999999999,19800,16200,7200
0162,31759.800000000007,19800,14400,5400
0163,43392.95000000001,21600,19800,7200
0164,40634.54999999999,27000,21600,5400
0165,52663.599999999984,23400,16200,9000
0166,58769.49999999999,23400,19800,7200
0167,45611.649999999994,19800,14400,7200
0168,46990.850000000006,23400,16200,7200
0169,52021.04999999999,25200,19800,9000
0170,57392.5,27000,21600,7200
0171,52695.7,27000,19800,5400
0172,56918.29999999999,21600,16200,10800
0173,46658.95,19800,14400,9000
0174,39839.85,23400,18000,5400
0175,49663.04999999999,21600,19800,5400
0176,32455.85,19800,18000,3600
0177,59679.49999999999,25200,19800,9000
0178,46481.09999999999,23400,18000,9000
0179,51029.04999999999,18000,18000,7200
0180,41542.649999999994,27000,21600,5400
0181,38818.149999999994,23400,21600,5400
0182,45109.79999999999,18000,16200,10800
0183,50817.04999999999,23400,18000,7200
0184,40325.29999999999,25200,18000,7200
0185,49845.64999999999,27000,19800,3600
0186,40979.44999999999,21600,16200,7200
0187,46826.69999999999,19800,16200,10800
0188,40184.79999999999,25200,21600,3600
0189,46612.24999999999,21600,18000,9000
0190,49475.54999999998,21600,19800,7200
0191,41804.45000000001,23400,19800,5400
0192,49935.19999999999,19800,14400,9000
0193,37217.75000000001,23400,21600,3600
0194,46018.90000000001,19800,18000,9000
0195,50512.14999999999,21600,14400,7200
0196,51240.34999999999,21600,18000,7200
0197,55606.29999999999,23400,18000,9000
0198,38872.649999999994,25200,21600,3600
0199,34515.6,16200,16200,5400
0200,55021.94999999999,27000,21600,5400
0201,35067.4,25200,19800,1800
0202,41197.79999999999,21600,18000,7200
0203,40063.95,23400,21600,5400
0204,55104.89999999999,27000,18000,7200
0205,29860.65000000001,19800,16200,5400
0206,40329.5,25200,19800,5400
0207,47565.149999999994,19800,14400,7200
0208,35321.95,21600,18000,5400
0209,54888.99999999999,25200,21600,5400
0210,29785.350000000006,21600,16200,3600
0211,37357.90000000001,21600,16200,5400
0212,45332.45000000001,19800,16200,9000
0213,44730.99999999999,21600,16200,5400
0214,40015.2,21600,16200,7200
0215,38498.55,19800,16200,7200
0216,40449.80000000001,21600,14400,9000
0217,45337.399999999994,23400,19800,5400
0218,46530.99999999999,23400,18000,9000
0219,51905.64999999999,19800,19800,7200
0220,40870.6,21600,19800,5400
0221,52751.49999999999,19800,14400,9000
0222,55948.7,23400,19800,9000
0223,46631.79999999999,21600,19800,3600
0224,42184.95,27000,21600,5400
0225,47191.5,18000,16200,10800
0226,43635.44999999999,25200,21600,5400
0227,45694.3,21600,18000,9000
0228,57807.44999999999,23400,21600,7200
0229,53809.00000000001,25200,19800,5400
0230,40216.95,21600,18000,5400
0231,48434.45000000001,21600,18000,7200
0232,46417.9,18000,18000,10800
0233,33840,21600,16200,5400
0234,42087.40000000001,21600,16200,7200
0235,30805.149999999994,19800,18000,3600
0236,60951.84999999999,25200,21600,10800
0237,42647.84999999999,21600,18000,5400
0238,59386.54999999998,19800,18000,10800
0239,47221.45000000001,19800,16200,7200
0240,42478.35,25200,18000,7200
0241,54503.04999999998,21600,18000,9000
