DateTime,SPN1 Total (W/m2),SPN1 Diff (W/m2),Out Irr (W/m2),Out Ill (Lux),Wind Speed (Km/h),Wind Dir (deg),RH (%),T (deg C),MaxWS (KM/h)
16-Jun-2023 00:00:21,2.146832,1.453818,0.033335,8.959811,2.768100,117.898654,70.732005,18.336467,4.076680
16-Jun-2023 00:01:21,2.166522,1.469271,-0.022193,4.975011,1.472953,112.947992,70.594143,18.355762,2.879462
16-Jun-2023 00:02:21,2.166397,1.475377,0.011141,-0.000000,2.900170,115.640652,70.774330,18.365410,5.741021
16-Jun-2023 00:03:21,1.672650,1.488587,-0.066669,8.959811,1.803548,116.876748,70.592275,18.379415,3.592032
16-Jun-2023 00:04:21,2.165400,1.482231,-0.044387,0.998196,3.086087,122.060252,70.579517,18.397775,5.021559
16-Jun-2023 00:05:21,2.156054,1.479489,-0.066669,4.975011,3.355549,132.311110,70.537505,18.421428,5.210664
16-Jun-2023 00:06:21,2.159045,1.475502,-0.044387,6.963418,4.843313,113.810265,69.958358,18.444455,6.158672
16-Jun-2023 00:07:21,1.691219,1.477994,-0.088863,3.976814,2.265415,103.927692,70.041448,18.464060,5.481162
16-Jun-2023 00:08:21,2.179731,1.476125,-0.088863,6.963418,2.486399,106.977108,70.176820,18.484913,5.112983
16-Jun-2023 00:09:21,2.178361,1.422663,-0.033335,5.973207,2.322900,110.904548,70.108355,18.484600,4.355322
16-Jun-2023 00:10:21,2.161662,1.466903,-0.033335,2.986604,3.511777,117.758053,69.965825,18.484290,4.739789
16-Jun-2023 00:11:21,2.161537,1.465283,-0.044387,4.975011,2.427414,108.088441,69.852548,18.493315,3.382892
16-Jun-2023 00:12:21,2.675221,1.486219,-0.044387,11.938429,3.253173,112.979301,70.020907,18.489890,4.084195
16-Jun-2023 00:13:21,2.179607,1.472635,-0.055528,4.975011,3.422077,115.050959,70.150368,18.485222,4.605161
16-Jun-2023 00:14:21,1.700815,1.418426,-0.088863,8.959811,3.741216,119.759600,70.267380,18.465928,4.369728
16-Jun-2023 00:15:21,2.174747,1.468398,-0.066669,5.973207,2.156337,115.046084,70.393730,18.460950,3.357223
16-Jun-2023 00:16:21,1.678757,1.531082,-0.011141,4.975011,1.877682,128.764520,70.699330,18.445700,3.312138
16-Jun-2023 00:17:21,2.172753,1.487216,-0.000000,3.976814,3.031922,141.638120,70.166863,18.442277,5.459874
16-Jun-2023 00:18:21,2.166771,1.479739,-0.066669,4.975011,3.588688,140.957313,69.668005,18.450058,5.546283
16-Jun-2023 00:19:21,2.668118,1.421416,-0.011141,6.963418,4.696686,146.994093,69.662093,18.464995,5.664628
16-Jun-2023 00:20:21,2.678835,1.460173,-0.111056,7.961614,5.703399,150.038353,69.288955,18.483355,7.447314
16-Jun-2023 00:21:21,2.180355,1.475502,-0.033335,5.973207,5.579732,145.540533,69.051817,18.532525,7.027787
16-Jun-2023 00:22:21,1.691967,1.466778,-0.055528,-0.000000,4.996253,147.095520,68.816238,18.550575,5.513722
16-Jun-2023 00:23:21,2.163032,1.479240,-0.044387,5.973207,3.954111,145.999459,68.894972,18.570493,4.861891
16-Jun-2023 00:24:21,2.173999,1.431760,-0.033335,4.975011,4.050226,145.736064,68.413853,18.584808,5.327128
16-Jun-2023 00:25:21,2.152066,1.454316,-0.011141,8.959811,3.937307,143.439066,68.635117,18.592588,4.989628
16-Jun-2023 00:26:21,1.691717,1.477745,-0.066669,6.963418,3.839837,142.835872,68.777338,18.593210,4.796142
16-Jun-2023 00:27:21,1.988687,1.472386,-0.088863,1.988407,3.589160,159.183051,68.639162,18.583875,4.773602
16-Jun-2023 00:28:21,2.182972,1.471389,-0.044387,6.963418,2.480847,158.388727,68.607110,18.583875,3.456781
16-Jun-2023 00:29:21,2.167269,1.420918,-0.088863,6.963418,2.723436,143.396605,68.582835,18.580140,3.260166
16-Jun-2023 00:30:21,2.578516,1.472511,-0.077721,1.988407,1.609015,169.063194,68.557005,18.573915,2.674064
