DateTime,SPN1 Total (W/m2),SPN1 Diff (W/m2),Out Irr (W/m2),Out Ill (Lux),Wind Speed (Km/h),Wind Dir (deg),RH (%),T (deg C),MaxWS (KM/h)
19-Jun-2023 00:00:21,2.663008,1.472137,-0.066669,2.986604,8.253131,55.920092,76.046430,17.201512,12.585599
19-Jun-2023 00:01:21,2.146084,1.401851,-0.011141,7.961614,6.712773,59.056499,76.203900,17.195910,11.611293
19-Jun-2023 00:02:21,2.193938,1.462167,-0.044387,9.950022,4.558093,60.665005,76.239065,17.192487,7.783561
19-Jun-2023 00:03:21,2.152814,1.460422,-0.066669,6.963418,6.288965,61.693096,76.191450,17.178173,8.024009
19-Jun-2023 00:04:21,2.161412,1.459924,-0.077721,6.963418,8.212014,57.849742,75.917593,17.168835,10.978868
19-Jun-2023 00:05:21,2.679209,1.457307,-0.033335,9.950022,5.917182,58.891616,76.088442,17.144562,9.169884
19-Jun-2023 00:06:21,2.156677,2.020964,-0.044387,6.963418,4.907861,77.867513,76.152550,17.122467,7.946363
19-Jun-2023 00:07:21,2.663507,2.376756,-0.077721,1.988407,5.352173,77.487417,76.361055,17.095392,9.226866
19-Jun-2023 00:08:21,2.230950,1.456061,-0.100004,3.976814,8.841414,61.809709,76.338338,17.080455,13.935619
19-Jun-2023 00:09:21,2.666248,1.531581,-0.055528,8.959811,7.072816,59.270776,76.344253,17.060228,9.920025
19-Jun-2023 00:10:21,2.669738,1.470641,-0.033335,13.934821,5.410042,59.190822,76.491450,17.042800,8.188687
19-Jun-2023 00:11:21,2.245032,1.475003,0.022193,3.976814,4.724289,79.786189,76.641760,17.025373,7.169296
19-Jun-2023 00:12:21,2.154434,1.537562,0.011141,9.950022,4.405467,62.996498,76.809810,17.018215,7.174306
19-Jun-2023 00:13:21,2.655406,1.469769,-0.044387,4.975011,4.326885,71.579803,76.922778,16.992695,6.183094
19-Jun-2023 00:14:21,2.140102,1.474131,0.022193,1.988407,3.268131,78.040359,77.030765,16.976202,6.075392
19-Jun-2023 00:15:21,2.630358,1.539432,-0.066669,-0.000000,9.984367,70.541209,76.666967,16.939167,13.441579
19-Jun-2023 00:16:21,2.656777,1.472511,-0.055528,3.976814,8.264926,69.721769,76.727653,16.917385,14.209256
19-Jun-2023 00:17:21,2.664504,1.478492,-0.077721,1.988407,6.969135,61.574239,76.890722,16.890933,9.321419
19-Jun-2023 00:18:21,2.669114,1.469894,-0.100004,7.961614,4.684893,62.110977,77.173918,16.887510,7.261967
19-Jun-2023 00:19:21,2.654285,1.465532,-0.055528,7.961614,5.126910,65.690743,77.246745,16.873505,10.481066
19-Jun-2023 00:20:21,2.665750,1.478368,-0.088863,4.975011,7.966662,56.237386,77.053170,16.849230,14.022032
19-Jun-2023 00:21:21,3.149525,1.473508,-0.011141,7.961614,9.917159,54.541801,77.106388,16.831493,15.785931
19-Jun-2023 00:22:21,3.361130,1.410325,-0.111056,2.986604,11.079684,65.960611,77.028897,16.812820,15.695136
19-Jun-2023 00:23:21,2.656029,1.465532,-0.033335,2.986604,10.145918,76.918623,77.174850,16.799750,14.375186
19-Jun-2023 00:24:21,3.108026,1.478243,-0.022193,9.950022,5.056624,99.390977,77.317075,16.794460,8.964502
19-Jun-2023 00:25:21,2.668990,1.663802,-0.044387,9.950022,4.305747,75.771853,77.536785,16.779210,7.322082
19-Jun-2023 00:26:21,2.649674,1.458429,-0.077721,6.963418,8.146633,76.572456,77.516245,16.748402,11.710226
19-Jun-2023 00:27:21,2.654160,1.469644,-0.077721,1.988407,6.430583,58.117169,77.653485,16.720705,10.403426
19-Jun-2023 00:28:21,3.132327,2.368531,-0.033335,4.975011,7.406456,58.242774,77.721328,16.704522,11.337032
19-Jun-2023 00:29:21,2.658397,1.441854,-0.055528,5.973207,5.883369,61.938593,77.875373,16.690208,8.826122
19-Jun-2023 00:30:21,2.157798,1.469395,-0.044387,3.976814,4.342433,78.585060,77.996430,16.677448,7.240055
19-Jun-2023 00:31:21,2.168640,1.452571,-0.088863,3.976814,3.133519,52.413529,78.060850,16.671845,5.544406
19-Jun-2023 00:32:21,2.153811,1.442851,-0.122197,9.950022,4.661879,70.887368,78.131182,16.669667,9.765991
