site,Id,Datetime,MEDI
Costa Rica,UCR_S001,2025-06-17T16:00:00Z,916.2180000000001
Costa Rica,UCR_S001,2025-06-17T17:00:00Z,184.12258333333332
Costa Rica,UCR_S001,2025-06-17T18:00:00Z,247.6031111111111
Costa Rica,UCR_S001,2025-06-17T19:00:00Z,174.62261111111113
Costa Rica,UCR_S001,2025-06-17T20:00:00Z,119.09447222222222
Costa Rica,UCR_S001,2025-06-17T21:00:00Z,58.24583333333333
Costa Rica,UCR_S001,2025-06-17T22:00:00Z,73.90666666666667
Costa Rica,UCR_S001,2025-06-17T23:00:00Z,15.463722222222222
Costa Rica,UCR_S001,2025-06-18T00:00:00Z,14.30188888888889
Costa Rica,UCR_S001,2025-06-18T01:00:00Z,5.758583333333334
Costa Rica,UCR_S001,2025-06-18T02:00:00Z,2.7110555555555558
Costa Rica,UCR_S001,2025-06-18T03:00:00Z,39.39633333333334
Costa Rica,UCR_S001,2025-06-18T04:00:00Z,0.004972222222222225
Costa Rica,UCR_S001,2025-06-18T05:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T06:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T07:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T08:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T09:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T10:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T11:00:00Z,0
Costa Rica,UCR_S001,2025-06-18T12:00:00Z,0.20155555555555557
Costa Rica,UCR_S001,2025-06-18T13:00:00Z,331.5306666666667
Costa Rica,UCR_S001,2025-06-18T14:00:00Z,267.35658333333333
Costa Rica,UCR_S001,2025-06-18T15:00:00Z,113.10466666666667
Costa Rica,UCR_S001,2025-06-18T16:00:00Z,181.46044444444445
Costa Rica,UCR_S001,2025-06-18T17:00:00Z,217.55672222222225
Costa Rica,UCR_S001,2025-06-18T18:00:00Z,3923.0645555555557
Costa Rica,UCR_S001,2025-06-18T19:00:00Z,2379.48575
Costa Rica,UCR_S001,2025-06-18T20:00:00Z,223.3303333333334
Costa Rica,UCR_S001,2025-06-18T21:00:00Z,56.70211111111111
Costa Rica,UCR_S001,2025-06-18T22:00:00Z,3501.0999166666666
Costa Rica,UCR_S001,2025-06-18T23:00:00Z,309.33658333333335
Costa Rica,UCR_S001,2025-06-19T00:00:00Z,16.35875
Costa Rica,UCR_S001,2025-06-19T01:00:00Z,13.102611111111113
Costa Rica,UCR_S001,2025-06-19T02:00:00Z,3.3324722222222216
Costa Rica,UCR_S001,2025-06-19T03:00:00Z,21.08641666666667
Costa Rica,UCR_S001,2025-06-19T04:00:00Z,0.7000277777777777
Costa Rica,UCR_S001,2025-06-19T05:00:00Z,0
Costa Rica,UCR_S001,2025-06-19T06:00:00Z,0
Costa Rica,UCR_S001,2025-06-19T07:00:00Z,0
Costa Rica,UCR_S001,2025-06-19T08:00:00Z,0
Costa Rica,UCR_S001,2025-06-19T09:00:00Z,0
Costa Rica,UCR_S001,2025-06-19T10:00:00Z,0
Costa Rica,UCR_S001,2025-06-19T11:00:00Z,8.055555555555565e-4
Costa Rica,UCR_S001,2025-06-19T12:00:00Z,1.871722222222222
Costa Rica,UCR_S001,2025-06-19T13:00:00Z,124.36149999999999
Costa Rica,UCR_S001,2025-06-19T14:00:00Z,954.6577500000001
Costa Rica,UCR_S001,2025-06-19T15:00:00Z,702.1351388888888
Costa Rica,UCR_S001,2025-06-19T16:00:00Z,3637.5591666666664
Costa Rica,UCR_S001,2025-06-19T17:00:00Z,1197.2011944444446
Costa Rica,UCR_S001,2025-06-19T18:00:00Z,379.3846111111111
Costa Rica,UCR_S001,2025-06-19T19:00:00Z,2162.616361111111
Costa Rica,UCR_S001,2025-06-19T20:00:00Z,1177.886611111111
Costa Rica,UCR_S001,2025-06-19T21:00:00Z,799.2355833333334
Costa Rica,UCR_S001,2025-06-19T22:00:00Z,57.009750000000004
Costa Rica,UCR_S001,2025-06-19T23:00:00Z,82.09788888888889
Costa Rica,UCR_S001,2025-06-20T00:00:00Z,9.411583333333333
Costa Rica,UCR_S001,2025-06-20T01:00:00Z,12.944527777777777
Costa Rica,UCR_S001,2025-06-20T02:00:00Z,4.129416666666668
Costa Rica,UCR_S001,2025-06-20T03:00:00Z,2.2472222222222222
Costa Rica,UCR_S001,2025-06-20T04:00:00Z,6.4261944444444445
Costa Rica,UCR_S001,2025-06-20T05:00:00Z,0.133361111111111
Costa Rica,UCR_S001,2025-06-20T06:00:00Z,0
Costa Rica,UCR_S001,2025-06-20T07:00:00Z,0
Costa Rica,UCR_S001,2025-06-20T08:00:00Z,0
Costa Rica,UCR_S001,2025-06-20T09:00:00Z,0
Costa Rica,UCR_S001,2025-06-20T10:00:00Z,0
Costa Rica,UCR_S001,2025-06-20T11:00:00Z,0
