DateTime,SPN1 Total (W/m2),SPN1 Diff (W/m2),Out Irr (W/m2),Out Ill (Lux),Wind Speed (Km/h),Wind Dir (deg),RH (%),T (deg C),MaxWS (KM/h)
14-Jun-2023 00:00:21,2.640203,1.441729,-0.033335,8.959811,4.879472,179.720685,61.959807,15.705240,9.004577
14-Jun-2023 00:01:21,1.738076,1.421915,-0.000000,4.975011,5.588337,166.079859,62.132212,15.691548,8.523687
14-Jun-2023 00:02:21,2.657026,1.360103,-0.077721,8.959811,4.954977,174.545530,62.543000,15.607213,8.256313
14-Jun-2023 00:03:21,2.306844,1.431760,-0.011141,7.961614,4.828858,162.124667,62.484805,15.590717,7.200604
14-Jun-2023 00:04:21,2.150820,1.440857,-0.000000,6.963418,4.995680,165.018486,62.431280,15.594762,6.466745
14-Jun-2023 00:05:21,2.162908,1.419921,-0.088863,9.950022,4.985818,182.829442,62.582835,15.596320,6.694039
14-Jun-2023 00:06:21,2.664130,1.413690,-0.033335,9.950022,3.793078,177.457523,62.443105,15.595075,6.615770
14-Jun-2023 00:07:21,2.129385,1.415559,-0.100004,4.975011,3.207926,171.273858,62.586880,15.564888,9.188672
14-Jun-2023 00:08:21,2.136364,1.420419,-0.022193,5.973207,5.048433,165.954627,62.457110,15.567065,6.419779
14-Jun-2023 00:09:21,2.636589,1.429891,-0.088863,1.988407,3.547311,167.985322,62.657213,15.551817,5.330885
14-Jun-2023 00:10:21,2.142345,1.508152,-0.055528,7.961614,4.228945,174.923561,62.779515,15.537812,5.489306
14-Jun-2023 00:11:21,2.143592,1.419547,-0.066669,5.973207,4.560287,158.098333,62.826817,15.520075,5.831816
14-Jun-2023 00:12:21,2.150197,1.432009,-0.033335,10.948218,2.896833,173.392946,63.016962,15.504202,4.152450
14-Jun-2023 00:13:21,2.156801,1.487340,-0.088863,4.975011,4.016308,173.914025,63.201505,15.466860,5.888169
14-Jun-2023 00:14:21,2.656403,1.424532,-0.022193,4.975011,5.933253,168.992236,63.112813,15.462502,7.059095
14-Jun-2023 00:15:21,2.146333,1.425653,-0.000000,3.976814,4.142690,157.778133,63.004515,15.465615,5.454864
14-Jun-2023 00:16:21,2.341738,1.496438,-0.122197,4.975011,3.099065,171.278171,63.275572,15.448188,6.225669
14-Jun-2023 00:17:21,2.135242,1.405465,-0.066669,1.988407,6.364939,158.299212,63.207417,15.434805,7.878737
14-Jun-2023 00:18:21,2.156926,1.404094,-0.044387,8.959811,6.081810,143.935962,63.122150,15.449120,7.641424
14-Jun-2023 00:19:21,2.567549,1.397739,-0.111056,3.976814,3.470345,174.724935,63.088540,15.452855,5.173094
14-Jun-2023 00:20:21,2.654659,1.403970,-0.044387,4.975011,3.708286,194.294840,63.325675,15.435738,5.209411
